Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Golduck,#0055,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Forest of Focus, Training Lowlands, Brawlers' Cave (Wanderer) Soothing Wetlands, Forest of Focus, Challenge Beach, Courageous Cavern (Max Raid Battle) Max Lair (Dynamax Adventure)","Routes 203, 204, 205, 208, 209, 210, 212, 214, and 225, Twinleaf Town, Eterna City, Celestic Town, Ravaged Path, Oreburgh Gate, Lake Verity, Lake Acuity, Lake Valor, Sendoff Spring, Resort Area (Surfing) Routes 226 and 230, Great Marsh, Sendoff Spring","Routes 203, 204, 205, 208, 209, 210, 212, 214, and 225, Twinleaf Town, Eterna City, Celestic Town, Ravaged Path, Oreburgh Gate, Lake Verity, Lake Acuity, Lake Valor, Sendoff Spring, Resort Area (Surfing) Routes 226 and 230, Great Marsh, Sendoff Spring","Obsidian Fieldlands: The Heartwood (mass outbreaks) Crimson Mirelands: Golden Lowlands (mass outbreaks), Holm of Trials, massive mass outbreaks Cobalt Coastlands: Bathers' Lagoon (additional ), massive mass outbreaks Coronet Highlands: Wayward Wood, Lonely Spring",,
Mankey,#0056,False,Unobtainable,Unobtainable,,"Routes 225 and 226 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)","Routes 225 and 226 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Primeape,#0057,False,Unobtainable,Unobtainable,,"Routes 225 and 226 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)","Routes 225 and 226 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Growlithe,#0058,False,"Dusty Bowl, Hammerlocke Hills","Route 3, Rolling Fields, Dappled Grove, Watchtower Ruins, East Lake Axewell, West Lake Axewell, Axew's Eye, South Lake Miloch, Giant's Seat, North Lake Miloch Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battle)",,"Grand Underground - Spacious Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)",Trade,"Cobalt Coastlands: Windbreak Stand, Veilstone Cape, massive mass outbreaks (Hisuian Form) Unobtainable (Kantonian Form)",,
Arcanine,#0059,False,Giant's Cap (Max Raid Battle),"Lake of Outrage Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battle)",,Evolve Growlithe,Trade,Cobalt Coastlands: massive mass outbreaks (Hisuian Form) Unobtainable (Kantonian Form),,"Fields of Honor, Challenge Beach, Loop Lagoon, Potbottom Desert, Snowslide Slope, Giant's Bed, Ballimere Lake (Max Raid Battle)"
Poliwag,#0060,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Brawlers' Cave (walking and Surfing) Fields of Honor, Soothing Wetlands, Courageous Cavern (Max Raid Battle)","Route 225 (Good Rod) Routes 227 and 228 (Surfing) Grand Underground - Grassland Cave, Sunlit Cavern, Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex)","Route 225 (Good Rod) Routes 227 and 228 (Surfing) Grand Underground - Grassland Cave, Sunlit Cavern, Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex)",Unobtainable,,
Poliwhirl,#0061,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Soothing Wetlands (Wanderer) Fields of Honor, Soothing Wetlands, Courages Cavern (Max Raid Battle)","Route 225 (Super Rod) Routes 225, 227, 228 (Surfing) Grand Underground - Grassland Cave, Sunlit Cavern, Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex)","Route 225 (Super Rod) Routes 225, 227, 228 (Surfing) Grand Underground - Grassland Cave, Sunlit Cavern, Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex)",Unobtainable,,
Poliwrath,#0062,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Brawlers' Cave (Wanderer) Fields of Honor, Soothing Wetlands, Courageous Cavern (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Poliwhirl,Evolve Poliwhirl,Unobtainable,,
Abra,#0063,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor Soothing Wetlands, Challenge Beach (Max Raid Battle)",Routes 203 and 215 Trade Machop in Oreburgh City,Routes 203 and 215 Trade Machop in Oreburgh City,"Obsidian Fieldlands: Windswept Run, Sandgem Flats, massive mass outbreaks Alabaster Icelands: Lake Acuity, massive mass outbreaks",,
Kadabra,#0064,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands (Wanderer) Soothing Wetlands, Challenge Beach (Max Raid Battle) Max Lair (Dynamax Adventure)","Route 215, Victory Road Grand Underground - Dazzling Cave, Stargleam Cavern (after obtaining T M97 (Defog))","Route 215, Victory Road Grand Underground - Dazzling Cave, Stargleam Cavern (after obtaining T M97 (Defog))","Obsidian Fieldlands: Sandgem Flats, massive mass outbreaks Cobalt Coastlands: Space-time distortions Alabaster Icelands: Lake Acuity, massive mass outbreaks",,
Alakazam,#0065,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Loop Lagoon, Insular Sea (Wanderer) Soothing Wetlands, Challenge Beach (Max Raid Battle)",Evolve Kadabra,Evolve Kadabra,"Obsidian Fieldlands: Sandgem Flats , massive mass outbreaks Cobalt Coastlands: Space-time distortions Alabaster Icelands: Lake Acuity, massive mass outbreaks",,
Machop,#0066,False,"Route 3, North Lake Miloch, South Lake Miloch, Watchtower Ruins, Giant's Seat, Giant's Mirror, Stony Wilderness Rolling Fields, South Lake Miloch, North Lake Miloch, Stony Wilderness, Dusty Bowl (Max Raid Battle)","Route 3, North Lake Miloch, South Lake Miloch, Watchtower Ruins, Giant's Seat, Giant's Mirror, Stony Wilderness Rolling Fields, South Lake Miloch, North Lake Miloch, Stony Wilderness, Dusty Bowl (Max Raid Battle)",,"Routes 207, 208, and 210, Mount Coronet Grand Underground - Spacious Cave, Grassland Cave, Whiteout Cave, Sunlit Cavern","Routes 207, 208, and 210, Mount Coronet Grand Underground - Spacious Cave, Grassland Cave, Whiteout Cave, Sunlit Cavern","Obsidian Fieldlands: Oreburrow Tunnel, near Obsidian Falls Cobalt Coastlands: near Ginkgo Landing, Castaway Shore Coronet Highlands: Bolderoll Ravine, near Cloudcap Pass, massive mass outbreaks Alabaster Icelands: Icebound Falls, Arena's Approach, Snowfall Hot Spring, massive mass outbreaks",,
Machoke,#0067,False,"Axew's Eye, Giant's Seat, Stony Wilderness, Hammerlocke Hills Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness (Max Raid Battle)","Axew's Eye, Giant's Seat, Stony Wilderness, Hammerlocke Hills Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness (Max Raid Battle)",Max Lair (Dynamax Adventure),"Routes 210, 211, 216, 217, 225, and 226, Stark Mountain, Mount Coronet, Victory Road, Acuity Lakefront Grand Underground - Spacious Cave, Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining T M97 (Defog))","Routes 210, 211, 216, 217, 225, and 226, Stark Mountain, Mount Coronet, Victory Road, Acuity Lakefront Grand Underground - Spacious Cave, Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining T M97 (Defog))","Obsidian Fieldlands: near Obsidian Falls Cobalt Coastlands: near Ginkgo Landing (additional ), Castaway Shore Coronet Highlands: Bolderoll Ravine, near Cloudcap Pass, massive mass outbreaks Alabaster Icelands: Icebound Falls, Arena's Approach, Snowfall Hot Spring, massive mass outbreaks",,
Machamp,#0068,False,"Giant's Mirror (Wanderer) Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness (Max Raid Battle) Stony Wilderness (Max Raid Battle) (Gigantamax Factor)","Giant's Mirror (Wanderer) Dusty Bowl, North Lake Miloch, Rolling Fields, South Lake Miloch, Stony Wilderness (Max Raid Battle)",,Evolve Machoke,Evolve Machoke,"Coronet Highlands: massive mass outbreaks Alabaster Icelands: Arena's Approach , massive mass outbreaks","Frostpoint Field, Snowslide Slope, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) (Gigantamax Factor)","Frostpoint Field, Snowslide Slope, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)"
Bellsprout,#0069,False,Unobtainable,Unobtainable,,"Routes 229 and 230Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Routes 229 and 230Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Weepinbell,#0070,False,Unobtainable,Unobtainable,,"Routes 224, 229, and 230Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Routes 224, 229, and 230Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Victreebel,#0071,False,Unobtainable,Unobtainable,,Evolve Weepinbell,Evolve Weepinbell,Unobtainable,,
Tentacool,#0072,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Beach, Courageous Cavern, Fields of Honor, Honeycalm Sea, Honeycalm Island, Insular Sea, Loop Lagoon, Stepping- Stone Sea, Workout Sea (Surfing) Fields of Honor, Soothing Wetlands, Forest of Focus, Challenge Beach, Loop Lagoon, Insular Sea (Max Raid Battle)","Routes 205, 213, 218, 219, 220, 221, and 222, Canalave City, Pastoria City, Fuego Ironworks, Valley Windworks, Iron Island (Surfing) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After defeating Candice)","Routes 205, 213, 218, 219, 220, 221, and 222, Canalave City, Pastoria City, Fuego Ironworks, Valley Windworks, Iron Island (Surfing) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After defeating Candice)","Cobalt Coastlands: near Islespy Shore, Lunker's Lair, Seagrass Haven, massive mass outbreaks",,
Tentacruel,#0073,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Beach, Fields of Honor, Honeycalm Island, Honeycalm Sea, Insular Sea, Loop Lagoon, Stepping- Stone Sea, Workout Sea (Surfing) Courageous Cavern (Wanderer) Fields of Honor, Soothing Wetlands, Forest of Focus, Challenge Beach, Loop Lagoon, Insular Sea (Max Raid Battle) Max Lair (Dynamax Adventure)","Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, and 230, Pastoria City, Canalave City, Sunyshore City, Valley Windworks, Fuego Ironworks, Iron Island, Pokémon League (Surfing) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After defeating Candice)","Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, and 230, Pastoria City, Canalave City, Sunyshore City, Valley Windworks, Fuego Ironworks, Iron Island, Pokémon League (Surfing) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After defeating Candice)","Cobalt Coastlands: near Islespy Shore, Lunker's Lair (additional  nearby), Seagrass Haven, massive mass outbreaks",,
Geodude,#0074,False,Unobtainable,Unobtainable,,"Routes 206, 207, 210, 211, 214, and 215, Oreburgh Gate, Ruin Maniac Cave, Oreburgh Mine, Iron Island, Mt. Coronet, Maniac Tunnel,  Ravaged Path, Stark Mountain, Valor Lakefront, Wayward Cave (Kantonian Form) Grand Underground - Rocky Cave, Spacious Cave, Volcanic Cave, Big Bluff Cavern, Typhlo Cavern (Kantonian Form) Unobtainable (Alolan Form)","Routes 206, 207, 210, 211, 214, and 215, Oreburgh Gate, Ruin Maniac Cave, Oreburgh Mine, Iron Island, Mt. Coronet, Maniac Tunnel,  Ravaged Path, Stark Mountain, Valor Lakefront, Wayward Cave (Kantonian Form) Grand Underground - Rocky Cave, Spacious Cave, Volcanic Cave, Big Bluff Cavern, Typhlo Cavern (Kantonian Form) Unobtainable (Alolan Form)","Obsidian Fieldlands: Worn Bridge, Deertrack Heights, near Obsidian Falls, massive mass outbreaks (Kantonian Form) Crimson Mirelands: Gapejaw Bog, Ursa's Ring, near Sludge Mound, near Scarlet Bog, Bolderoll Slope, Droning Meadow (Kantonian Form) Cobalt Coastlands: massive mass outbreaks (Kantonian Form) Coronet Highlands: near Ancient Quarry, Clamberclaw Cliffs Day, Celestica Ruins, Sacred Plaza, Bolderoll Ravine, massive mass outbreaks (Kantonian Form) Unobtainable (Alolan Form)

Obsidian Fieldlands: near Worn Bridge, Deertrack Path, Deertrack Heights, Windswept Run, Nature's Pantry, Tidewater Dam, The Heartwood, Oreburrow Tunnel Shaking ore deposits (Kantonian Form) Crimson Mirelands: Golden Lowlands, Gapejaw Bog, Holm of Trials, Ursa's Ring, Sludge Mound, Scarlet Bog, Cloudpool Ridge, Shrouded Ruins, Diamond Heath, Bolderoll Slope, near Cottonsedge Prairie Shaking ore deposits (Kantonian Form) Cobalt Coastlands: Crossing Slope, Ginkgo Landing, Aipom Hill, Bathers' Lagoon, Deadwood Haunt, Sand's Reach, Tranquility Cove, Castaway Shore, near Windbreak Stand, Veilstone Cape Shaking ore deposits (Kantonian Form)",,
Graveler,#0075,False,Unobtainable,Unobtainable,,"Routes 211, 214, 216, and 227, Valor Lakefront, Iron Island, Mt. Coronet, Victory Road, Stark Mountain, Snowpoint Temple (Kantonian Form) Grand Underground - Rocky Cave, Spacious Cave, Volcanic Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining T M97 (Defog)) (Kantonian Form) Unobtainable (Alolan Form)","Routes 211, 214, 216, and 227, Valor Lakefront, Iron Island, Mt. Coronet, Victory Road, Stark Mountain, Snowpoint Temple (Kantonian Form) Grand Underground - Rocky Cave, Spacious Cave, Volcanic Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining T M97 (Defog)) (Kantonian Form) Unobtainable (Alolan Form)","Obsidian Fieldlands: near Obsidian Falls , massive mass outbreaks (Kantonian Form) Crimson Mirelands: Gapejaw Bog, Ursa's Ring, near Sludge Mound, near Scarlet Bog, Bolderoll Slope, Droning Meadow, near Lake Valor (Kantonian Form) Cobalt Coastlands: Firespit Island, massive mass outbreaks (Kantonian Form) Coronet Highlands: near Ancient Quarry, Clamberclaw Cliffs Day, Celestica Ruins, Sacred Plaza, Bolderoll Ravine, massive mass outbreaks (Kantonian Form) Unobtainable (Alolan Form)

Obsidian Fieldlands: Oreburrow Tunnel, Ramanas Island, Sandgem Flats Shaking ore deposits (Kantonian Form) Crimson Mirelands: Golden Lowlands, Gapejaw Bog, Holm of Trials, Ursa's Ring, Sludge Mound, Scarlet Bog, Cloudpool Ridge, Shrouded Ruins, Diamond Heath, Bolderoll Slope, near Cottonsedge Prairie, Lake Valor Shaking ore deposits (Kantonian Form) Cobalt Coastlands: Crossing Slope, Ginkgo Landing, Aipom Hill, Bathers' Lagoon, Hideaway Bay, Deadwood Haunt, Tombolo Walk, Sand's Reach, Tranquility Cove, Castaway Shore, Windbreak Stand, Spring Path, Islespy Shore, Veilstone Cape, Firespit Island Shaking ore deposits (Kantonian Form) Coronet Highlands: Heavenward Lookout, near Ancient Quarry, Celestica Trail, Sacred Plaza, Stonetooth Rows, Bolderoll Ravine, Fabled Spring, near Cloudcap Pass Shaking ore deposits (Kantonian Form)",,
Golem,#0076,False,Unobtainable,Unobtainable,,Evolve Graveler (Kantonian Form) Unobtainable (Alolan Form),Evolve Graveler (Kantonian Form) Unobtainable (Alolan Form),"Obsidian Fieldlands: massive mass outbreaks (Kantonian Form) Cobalt Coastlands: massive mass outbreaks (Kantonian Form) Coronet Highlands: Bolderoll Ravine , massive mass outbreaks (Kantonian Form) Unobtainable (Alolan Form)",,
Ponyta,#0077,False,"Trade Version 1.2.0+, Wild Area News (Kantonian Form) Trade, Event, Wild Area News (Galarian Form)","Trade Version 1.2.0+, Wild Area News (Kantonian Form) Glimwood Tangle (Galarian Form) Bridge Field (Max Raid Battle) (Galarian Form)",,"Routes 206, 210, 211, 214, and Route 215 (Kantonian Form) Grand Underground: Sandsear Cave, Volcanic Cave, Typhlo Cavern (after obtaining T M96 (Strength)) (Kantonian Form) Unobtainable (Galarian Form)","Routes 206, 210, 211, 214, and Route 215 (Kantonian Form) Grand Underground: Sandsear Cave, Volcanic Cave, Typhlo Cavern (after obtaining T M96 (Strength)) (Kantonian Form) Unobtainable (Galarian Form)","Obsidian Fieldlands: Horseshoe Plains (additional Shiny, only one during Request 19), massive mass outbreaks (Kantonian Form) Coronet Highlands: massive mass outbreaks (Kantonian Form) Unobtainable (Galarian Form)",,"Trade Galarian Ponyta with Regina on Isle of Armor (Kantonian Form) Old Cemetery (Galarian Form) Snowslide Slope, Path to the Peak, Giant's Bed, Ballimere Lake (Max Raid Battle) (Galarian Form)"
Rapidash,#0078,False,"Trade Version 1.2.0+, Wild Area News (Kantonian Form) Trade, Wild Area News (Galarian Form)","Trade Version 1.2.0+, Wild Area News (Kantonian Form) Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle) (Galarian Form)",,Evolve Ponyta (Kantonian Form) Unobtainable (Galarian Form),Evolve Ponyta (Kantonian Form) Unobtainable (Galarian Form),"Obsidian Fieldlands: Horseshoe Plains  (also mass outbreaks), massive mass outbreaks (Kantonian Form) Coronet Highlands: massive mass outbreaks (Kantonian Form) Unobtainable (Galarian Form)",,"Evolve Ponyta (Kantonian Form) Old Cemetery (Wanderer) (Galarian Form) Snowslide Slope, Path to the Peak, Giant's Bed, Ballimere Lake (Max Raid Battle) (Galarian Form)"
Slowpoke,#0079,False,Wedgehurst Station Version 1.1.0+ (Only one) (Galarian Form) Trade Version 1.2.0+ (Kantonian Form),Wedgehurst Station Version 1.1.0+ (Only one) (Galarian Form) Trade Version 1.2.0+ (Kantonian Form),"Fields of Honor (Galarian Form) Soothing Wetlands, Challenge Beach, Training Lowlands, Snowslide Slope, Path to the Peak, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) (Galarian Form) Reward for finding at least 10 Alolan Diglett (Kantonian Form)",Trade (Kantonian Form) Unobtainable (Galarian Form),"Route 205 (Poké Radar) (Kantonian Form) Grand Underground - Spacious Cave, Grassland Cave, Sunlit Cavern, Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Dazzling Cave, Stargleam Cavern (Kantonian Form) Unobtainable (Galarian Form)",Unobtainable,,
Slowbro,#0080,False,Evolve Slowpoke Version 1.2.0+ (Galarian Form) Trade Version 1.2.0+ (Kantonian Form),Evolve Slowpoke Version 1.2.0+ (Galarian Form) Trade Version 1.2.0+ (Kantonian Form),Evolve Slowpoke (Galarian Form) Max Lair (Dynamax Adventure) (Kantonian Form),Trade (Kantonian Form) Unobtainable (Galarian Form),Evolve Slowpoke (Kantonian Form) Unobtainable (Galarian Form),Unobtainable,,
Magnemite,#0081,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Beach Fields of Honor, Forest of Focus, Challenge Beach, Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea (Max Raid Battle)","Fuego Ironworks (Swarm) Grand Underground - Spacious Cave, Whiteout Cave, Icy Cave, Glacial Cavern","Fuego Ironworks (Swarm) Grand Underground - Spacious Cave, Whiteout Cave, Icy Cave, Glacial Cavern",Cobalt Coastlands: Space-time distortions,,
Magneton,#0082,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Road, Training Lowlands (Wanderer) Fields of Honor, Forest of Focus, Challenge Beach, Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Magnemite,Evolve Magnemite,Cobalt Coastlands: Space-time distortions,,
