Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Deino,#0633,False,Ten Carat Hill (Island Scan) Tu,Ten Carat Hill (Island Scan) Tu,Trade,Trade,Unobtainable,Unobtainable
Zweilous,#0634,False,Evolve Deino,Evolve Deino,Trade,Trade,Unobtainable,Unobtainable
Hydreigon,#0635,False,Evolve Zweilous,Evolve Zweilous,Trade,Trade,Unobtainable,Unobtainable
Larvesta,#0636,False,Trade,Trade,Lush Jungle (Cave),Lush Jungle (Cave),Unobtainable,Unobtainable
Volcarona,#0637,False,Trade,Trade,Lush Jungle (Cave) (SOS Battle),Lush Jungle (Cave) (SOS Battle),Unobtainable,Unobtainable
Cobalion,#0638,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Ultra Space Wilds (Rocky World) (Only one),Unobtainable,Unobtainable
Terrakion,#0639,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Ultra Space Wilds (Rocky World) (Only one),Unobtainable,Unobtainable
Virizion,#0640,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Ultra Space Wilds (Rocky World) (Only one),Unobtainable,Unobtainable
Tornadus,#0641,False,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one) (Incarnate Forme),Trade,Unobtainable,Unobtainable
Thundurus,#0642,False,Trade,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one) (Incarnate Forme),Unobtainable,Unobtainable
Reshiram,#0643,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Trade,Unobtainable,Unobtainable
Zekrom,#0644,False,Trade,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Unobtainable,Unobtainable
Landorus,#0645,False,Trade,Trade,Ultra Space Wilds (Cliff World) (requires Tornadus and Thundurus in party) (Only one) (Incarnate Forme),Ultra Space Wilds (Cliff World) (requires Tornadus and Thundurus in party) (Only one) (Incarnate Forme),Unobtainable,Unobtainable
Kyurem,#0646,False,Trade,Trade,Ultra Space Wilds (Water World) (requires Reshiram and Zekrom in party) (Only one),Ultra Space Wilds (Water World) (requires Reshiram and Zekrom in party) (Only one),Unobtainable,Unobtainable
Keldeo,#0647,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Meloetta,#0648,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Genesect,#0649,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Chespin,#0650,False,Trade,Trade,Breed Chesnaught,Breed Chesnaught,Unobtainable,Unobtainable
Quilladin,#0651,False,Trade,Trade,Evolve Chespin,Evolve Chespin,Unobtainable,Unobtainable
Chesnaught,#0652,False,Trade,Trade,Exeggutor Island (Island Scan) Th,Exeggutor Island (Island Scan) Th,Unobtainable,Unobtainable
Fennekin,#0653,False,Trade,Trade,Breed Delphox,Breed Delphox,Unobtainable,Unobtainable
Braixen,#0654,False,Trade,Trade,Evolve Fennekin,Evolve Fennekin,Unobtainable,Unobtainable
Delphox,#0655,False,Trade,Trade,Ancient Poni Path (Island Scan) Sa,Ancient Poni Path (Island Scan) Sa,Unobtainable,Unobtainable
Froakie,#0656,False,Trade,Trade,Breed Greninja,Breed Greninja,Unobtainable,Unobtainable
Frogadier,#0657,False,Trade,Trade,Evolve Froakie,Evolve Froakie,Unobtainable,Unobtainable
Greninja,#0658,False,Trade (Standard Greninja) Event: transfer from Pokémon Sun and Pokémon Moon Special Demo Version (Battle Bond Greninja),Trade (Standard Greninja) Event: transfer from Pokémon Sun and Pokémon Moon Special Demo Version (Battle Bond Greninja),Poni Wilds (Island Scan) Fr (Standard Greninja) Trade (Battle Bond Greninja),Poni Wilds (Island Scan) Fr (Standard Greninja) Trade (Battle Bond Greninja),Unobtainable,Unobtainable
Bunnelby,#0659,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Diggersby,#0660,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Fletchling,#0661,False,"Wela Volcano Park, Poké Pelago*","Wela Volcano Park, Poké Pelago*","Route 8, Wela Volcano Park","Route 8, Wela Volcano Park",Unobtainable,Unobtainable
Fletchinder,#0662,False,Route 8,Route 8,"Route 8, Wela Volcano Park (SOS Battle)","Route 8, Wela Volcano Park (SOS Battle)",Unobtainable,Unobtainable
Talonflame,#0663,False,Trade Bewear at Poni Gauntlet,Trade Bewear at Poni Gauntlet,Evolve Fletchinder,Evolve Fletchinder,Unobtainable,Unobtainable
Scatterbug,#0664,False,Trade,Trade,Hau'oli City (Island Scan) Th,Hau'oli City (Island Scan) Th,Unobtainable,Unobtainable
Spewpa,#0665,False,Trade,Trade,Evolve Scatterbug,Evolve Scatterbug,Unobtainable,Unobtainable
Vivillon,#0666,False,Trade,Trade,Evolve Spewpa,Evolve Spewpa,Unobtainable,Unobtainable
Litleo,#0667,False,Trade,Trade,Poké Pelago*,Poké Pelago*,Unobtainable,Unobtainable
Pyroar,#0668,False,Trade,Trade,Poni Plains,Poni Plains,Unobtainable,Unobtainable
Flabébé,#0669,False,Trade,Trade,Melemele Meadow (Yellow Flower) Melemele Meadow (SOS Battle) (Yellow/ Orange/ White Flowers) Breed Floette (Red/ Blue Flowers),Melemele Meadow (Yellow Flower) Melemele Meadow (SOS Battle) (Yellow/ Orange/ White Flowers) Breed Floette (Red/ Blue Flowers),Unobtainable,Unobtainable
Floette,#0670,False,Trade (Colored Flowers) Unreleased (Eternal Flower),Trade (Colored Flowers) Unreleased (Eternal Flower),Ula'ula Meadow (Red Flower) Ula'ula Meadow (SOS Battle) (Red/ White/ Orange Flowers) Poni Meadow (Blue Flower) Evolve Flabébé (Yellow Flower) Unreleased (Eternal Flower),Ula'ula Meadow (Red Flower) Ula'ula Meadow (SOS Battle) (Red/ White/ Orange Flowers) Poni Meadow (Blue Flower) Evolve Flabébé (Yellow Flower) Unreleased (Eternal Flower),Unobtainable,Unobtainable
Florges,#0671,False,Trade,Trade,Evolve Floette,Evolve Floette,Unobtainable,Unobtainable
Skiddo,#0672,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Gogoat,#0673,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pancham,#0674,False,"Routes 10, 11, and 17","Routes 10, 11, and 17",Routes 10 and 11,Routes 10 and 11,Unobtainable,Unobtainable
Pangoro,#0675,False,"Routes 10, 11, and 17 (SOS Battle)","Routes 10, 11, and 17 (SOS Battle)",Routes 10 and 11 (SOS Battle),Routes 10 and 11 (SOS Battle),Unobtainable,Unobtainable
Furfrou,#0676,False,Trade,Trade,"Route 2, Ancient Poni Path, Hau'oli City, Poni Wilds","Route 2, Ancient Poni Path, Hau'oli City, Poni Wilds",Unobtainable,Unobtainable
Espurr,#0677,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Meowstic,#0678,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Honedge,#0679,False,Akala Outskirts (Island Scan) We,Akala Outskirts (Island Scan) We,Akala Outskirts (Island Scan) We,Akala Outskirts (Island Scan) We,Unobtainable,Unobtainable
Doublade,#0680,False,Evolve Honedge,Evolve Honedge,Evolve Honedge,Evolve Honedge,Unobtainable,Unobtainable
Aegislash,#0681,False,Evolve Doublade,Evolve Doublade,Evolve Doublade,Evolve Doublade,Unobtainable,Unobtainable
Spritzee,#0682,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Aromatisse,#0683,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Swirlix,#0684,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Slurpuff,#0685,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Inkay,#0686,False,Trade,Trade,"Route 1, Ancient Poni Path, Poni Gauntlet, Poni Wilds","Route 1, Ancient Poni Path, Poni Gauntlet, Poni Wilds",Unobtainable,Unobtainable
Malamar,#0687,False,Trade,Trade,Evolve Inkay,Evolve Inkay,Unobtainable,Unobtainable
Binacle,#0688,False,Trade,Trade,Breed Barbaracle,Breed Barbaracle,Unobtainable,Unobtainable
Barbaracle,#0689,False,Trade,Trade,Ultra Space Wilds (Water World),Ultra Space Wilds (Water World),Unobtainable,Unobtainable
Skrelp,#0690,False,Trade,Trade,Trade,Breed Dragalge,Unobtainable,Unobtainable
Dragalge,#0691,False,Trade,Trade,Trade,Poni Breaker Coast (Ambush encounter),Unobtainable,Unobtainable
Clauncher,#0692,False,Trade,Trade,Breed Clawitzer,Trade,Unobtainable,Unobtainable
Clawitzer,#0693,False,Trade,Trade,Poni Breaker Coast (Ambush encounter),Trade,Unobtainable,Unobtainable
Helioptile,#0694,False,Trade,Trade,Breed Heliolisk,Breed Heliolisk,Unobtainable,Unobtainable
Heliolisk,#0695,False,Trade,Trade,Ultra Space Wilds (Rocky World),Ultra Space Wilds (Rocky World),Unobtainable,Unobtainable
Tyrunt,#0696,False,Trade Receive Jaw Fossil held by a traded Pokémon and revive it,Trade Receive Jaw Fossil held by a traded Pokémon and revive it,Revive from Jaw Fossil at the Fossil Restoration Center on Route 8,Revive from Jaw Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Tyrantrum,#0697,False,Trade,Trade,Evolve Tyrunt,Evolve Tyrunt,Unobtainable,Unobtainable
Amaura,#0698,False,Trade Receive Sail Fossil held by a traded Pokémon and revive it,Trade Receive Sail Fossil held by a traded Pokémon and revive it,Revive from Sail Fossil at the Fossil Restoration Center on Route 8,Revive from Sail Fossil at the Fossil Restoration Center on Route 8,Unobtainable,Unobtainable
Aurorus,#0699,False,Trade,Trade,Evolve Amaura,Evolve Amaura,Unobtainable,Unobtainable
Sylveon,#0700,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Unobtainable,Unobtainable
Hawlucha,#0701,False,Trade,Trade,"Route 3, Poké Pelago* Trade Spearow on Route 2","Route 3, Poké Pelago* Trade Spearow on Route 2",Unobtainable,Unobtainable
Dedenne,#0702,False,Trade,Trade,Blush Mountain,Blush Mountain,Unobtainable,Unobtainable
Carbink,#0703,False,"Ten Carat Hill, Vast Poni Canyon, Poké Pelago","Ten Carat Hill, Vast Poni Canyon, Poké Pelago","Ten Carat Hill, Vast Poni Canyon","Ten Carat Hill, Vast Poni Canyon",Unobtainable,Unobtainable
Goomy,#0704,False,"Route 17, Lush Jungle (SOS Battle in rain)","Route 17, Lush Jungle (SOS Battle in rain)","Route 17, Lush Jungle (SOS Battle in rain)","Route 17, Lush Jungle (SOS Battle in rain)",Unobtainable,Unobtainable
Sliggoo,#0705,False,Exeggutor Island (SOS Battle in rain),Exeggutor Island (SOS Battle in rain),Exeggutor Island (SOS Battle in rain),Exeggutor Island (SOS Battle in rain),Unobtainable,Unobtainable
Goodra,#0706,False,Evolve Sliggoo,Evolve Sliggoo,Evolve Sliggoo,Evolve Sliggoo,Unobtainable,Unobtainable
Klefki,#0707,False,"Thrifty Megamart (Abandoned Site), Poké Pelago*","Thrifty Megamart (Abandoned Site), Poké Pelago*",Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Unobtainable,Unobtainable
Phantump,#0708,False,Memorial Hill,Memorial Hill,"Memorial Hill, Tapu Village","Memorial Hill, Tapu Village",Unobtainable,Unobtainable
Trevenant,#0709,False,Poké Pelago*,Poké Pelago*,Trade Phantump in Tapu Village,Trade Phantump in Tapu Village,Unobtainable,Unobtainable
Pumpkaboo,#0710,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Gourgeist,#0711,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Bergmite,#0712,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Avalugg,#0713,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Noibat,#0714,False,Trade,Trade,Verdant Cavern Trade Lillipup on Route 5,Verdant Cavern Trade Lillipup on Route 5,Unobtainable,Unobtainable
Noivern,#0715,False,Trade,Trade,Resolution Cave,Resolution Cave,Unobtainable,Unobtainable
Xerneas,#0716,False,Trade,"Trade, Event",Ultra Space Wilds (Rocky World) (Only one),"Trade, Event",Unobtainable,Unobtainable
Yveltal,#0717,False,"Trade, Event",Trade,"Trade, Event",Ultra Space Wilds (Cliff World) (Only one),Unobtainable,Unobtainable
Zygarde,#0718,False,Aether Base on Route 16 (Reassembly Unit) (Forme and Ability determined by number of Zygarde Cells/ Cores),Aether Base on Route 16 (Reassembly Unit) (Forme and Ability determined by number of Zygarde Cells/ Cores),"Resolution Cave (50% Forme, Aura Break) Aether Base on Route 16 (Gift) (10% Forme, Aura Break) Aether Base on Route 16 (Reassembly Unit) (Forme and Ability determined by number of Zygarde Cells/ Cores)","Resolution Cave (50% Forme, Aura Break) Aether Base on Route 16 (Gift) (10% Forme, Aura Break) Aether Base on Route 16 (Reassembly Unit) (Forme and Ability determined by number of Zygarde Cells/ Cores)",Unobtainable,Unobtainable
Diancie,#0719,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Hoopa,#0720,False,Event,Event,Event,Event,Unobtainable,Unobtainable
Volcanion,#0721,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Rowlet,#0722,False,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Professor Kukui in Route 1,First partner Pokémon from Professor Kukui in Route 1,Unobtainable,Unobtainable
Dartrix,#0723,False,Evolve Rowlet,Evolve Rowlet,Evolve Rowlet,Evolve Rowlet,Unobtainable,Unobtainable
Decidueye,#0724,False,Evolve Dartrix,Evolve Dartrix,Evolve Dartrix,Evolve Dartrix,Unobtainable,Unobtainable
Litten,#0725,False,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Professor Kukui in Route 1,First partner Pokémon from Professor Kukui in Route 1,Unobtainable,Unobtainable
Torracat,#0726,False,Evolve Litten,Evolve Litten,Evolve Litten,Evolve Litten,Unobtainable,Unobtainable
Incineroar,#0727,False,Evolve Torracat,Evolve Torracat,Evolve Torracat,Evolve Torracat,Unobtainable,Unobtainable
Popplio,#0728,False,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Hala in Iki Town,First partner Pokémon from Professor Kukui in Route 1,First partner Pokémon from Professor Kukui in Route 1,Unobtainable,Unobtainable
Brionne,#0729,False,Evolve Popplio,Evolve Popplio,Evolve Popplio,Evolve Popplio,Unobtainable,Unobtainable
Primarina,#0730,False,Evolve Brionne,Evolve Brionne,Evolve Brionne,Evolve Brionne,Unobtainable,Unobtainable
Pikipek,#0731,False,"Routes 1, 4, 5, and 6, Poké Pelago Routes 5 and 8 (SOS Battle)","Routes 1, 4, 5, and 6, Poké Pelago Routes 5 and 8 (SOS Battle)","Routes 1, 4, 5, and 6, Poké Pelago","Routes 1, 4, 5, and 6, Poké Pelago",Unobtainable,Unobtainable
Trumbeak,#0732,False,"Routes 5, 8, and 11, Lush Jungle, Poni Grove, Poni Plains","Routes 5, 8, and 11, Lush Jungle, Poni Grove, Poni Plains","Routes 5, 8, and 11, Poni Grove, Poni Plains Lush Jungle (SOS Battle)","Routes 5, 8, and 11, Poni Grove, Poni Plains Lush Jungle (SOS Battle)",Unobtainable,Unobtainable
Toucannon,#0733,False,Evolve Trumbeak,Evolve Trumbeak,"Route 11, Poni Grove, Poni Plains (SOS Battle)","Route 11, Poni Grove, Poni Plains (SOS Battle)",Unobtainable,Unobtainable
Yungoos,#0734,False,"Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e Bay Day Verdant Cavern","Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e Bay Day","Routes 1, 2, 4, 6, 8, Kala'e Bay Day Verdant Cavern","Routes 1, 2, 4, 6, 8, Kala'e Bay Day",Unobtainable,Unobtainable
Gumshoos,#0735,False,"Routes 10, 11, 15, 16, and 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu Village Day","Routes 10, 11, 15, 16, and 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu Village Day","Routes 10, 15, 16, and 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains Day Route 8 Day (SOS Battle) Received from Samson Oak at Heahea Beach* (Totem-sized)","Routes 10, 15, 16, and 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains Day Route 8 Day (SOS Battle)",Unobtainable,Unobtainable
Grubbin,#0736,False,"Routes 1, 4, 5, and 6","Routes 1, 4, 5, and 6","Routes 1, 4, 5, and 6 Blush Mountain Day (SOS Battle)","Routes 1, 4, 5, and 6 Blush Mountain Day (SOS Battle)",Unobtainable,Unobtainable
Charjabug,#0737,False,Blush Mountain,Blush Mountain,Blush Mountain,Blush Mountain,Unobtainable,Unobtainable
Vikavolt,#0738,False,Evolve Charjabug,Evolve Charjabug,Blush Mountain Day (SOS Battle) Received from Samson Oak at Heahea Beach* (Totem-sized),Blush Mountain Day (SOS Battle),Unobtainable,Unobtainable
Crabrawler,#0739,False,"Routes 2, 3, 4, 5, 8, 10, 16, and 17, Secluded Shore, Poni Wilds, Poni Plains (Berry piles)","Routes 2, 3, 4, 5, 8, 10, 16, and 17, Secluded Shore, Poni Wilds, Poni Plains (Berry piles)","Routes 2, 3, 4, 5, 8, 10, 16, and 17, Ula'ula Beach, Poni Wilds, Poni Plains (Berry piles)","Routes 2, 3, 4, 5, 8, 10, 16, and 17, Ula'ula Beach, Poni Wilds, Poni Plains (Berry piles)",Unobtainable,Unobtainable
Crabominable,#0740,False,Evolve Crabrawler,Evolve Crabrawler,Evolve Crabrawler,Evolve Crabrawler,Unobtainable,Unobtainable
Oricorio,#0741,False,Melemele Meadow (Pom- Pom Style) Route 6 (Pa'u Style) Ula'ula Meadow (Baile Style) Poni Meadow (Sensu Style),Melemele Meadow (Pom- Pom Style) Route 6 (Pa'u Style) Ula'ula Meadow (Baile Style) Poni Meadow (Sensu Style),Melemele Meadow (Pom- Pom Style) Route 6 (Pa'u Style) Ula'ula Meadow (Baile Style) Poni Meadow (Sensu Style),Melemele Meadow (Pom- Pom Style) Route 6 (Pa'u Style) Ula'ula Meadow (Baile Style) Poni Meadow (Sensu Style),Unobtainable,Unobtainable
Cutiefly,#0742,False,"Routes 2 and 3, Melemele Meadow","Routes 2 and 3, Melemele Meadow","Routes 2 and 3, Melemele Meadow, Poké Pelago","Routes 2 and 3, Melemele Meadow, Poké Pelago",Unobtainable,Unobtainable
Ribombee,#0743,False,"Ula'ula Meadow, Poni Meadow","Ula'ula Meadow, Poni Meadow","Ula'ula Meadow, Poni Meadow Received from Samson Oak at Heahea Beach* (Totem-sized)","Ula'ula Meadow, Poni Meadow",Unobtainable,Unobtainable
Rockruff,#0744,False,Ten Carat Hill Standard Form Unobtainable (Own Tempo Form),Ten Carat Hill Standard Form Unobtainable (Own Tempo Form),"Route 1, Ten Carat Hill (Standard Form) Events or breed event Rockruff (Own Tempo Form)","Route 1, Ten Carat Hill (Standard Form) Events or breed event Rockruff (Own Tempo Form)",Unobtainable,Unobtainable
Lycanroc,#0745,False,Vast Poni Canyon (Midday/ Midnight Forms) Unobtainable (Dusk Form),Vast Poni Canyon (Midday/ Midnight Forms) Unobtainable (Dusk Form),Vast Poni Canyon (Midday/ Midnight Forms) Evolve Own Tempo Rockruff (Dusk Form),Vast Poni Canyon (Midday/ Midnight Forms) Evolve Own Tempo Rockruff (Dusk Form),Unobtainable,Unobtainable
Wishiwashi,#0746,False,"Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts, Secluded Shore (Fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts, Secluded Shore (Fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts (Fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts (Fishing)",Unobtainable,Unobtainable
Mareanie,#0747,False,"Route 9, Melemele Sea (SOS Battle)","Route 9, Melemele Sea (SOS Battle)","Route 9, Melemele Sea (SOS Battle)","Route 9, Melemele Sea (SOS Battle)",Unobtainable,Unobtainable
Toxapex,#0748,False,Evolve Mareanie,Evolve Mareanie,Evolve Mareanie,Evolve Mareanie,Unobtainable,Unobtainable
Mudbray,#0749,False,"Routes 4, 6, and 12, Paniola Ranch, Blush Mountain","Routes 4, 6, and 12, Paniola Ranch, Blush Mountain","Routes 4, 6, and 12, Paniola Ranch, Blush Mountain","Routes 4, 6, and 12, Paniola Ranch, Blush Mountain",Unobtainable,Unobtainable
Mudsdale,#0750,False,Poni Plains,Poni Plains,"Poni Plains Route 12, Blush Mountain (SOS Battle)","Poni Plains Route 12, Blush Mountain (SOS Battle)",Unobtainable,Unobtainable
Dewpider,#0751,False,Brooklet Hill Day (Surfing and walking),Brooklet Hill Day (Surfing and walking),Brooklet Hill Day (Surfing and walking),Brooklet Hill Day (Surfing and walking),Unobtainable,Unobtainable
Araquanid,#0752,False,Malie Garden Day,Malie Garden Day,Malie Garden Day,Malie Garden Day Received from Samson Oak at Heahea Beach* (Totem-sized),Unobtainable,Unobtainable
Fomantis,#0753,False,"Route 5, Lush Jungle","Route 5, Lush Jungle","Route 5, Lush Jungle","Route 5, Lush Jungle",Unobtainable,Unobtainable
Lurantis,#0754,False,Evolve Fomantis,Evolve Fomantis,Received from Samson Oak at Heahea Beach* (Totem-sized),Evolve Fomantis,Unobtainable,Unobtainable
Morelull,#0755,False,"Route 11, Brooklet Hill, Lush Jungle Night","Route 11, Brooklet Hill, Lush Jungle Night","Brooklet Hill, Lush Jungle Night","Brooklet Hill, Lush Jungle Night",Unobtainable,Unobtainable
Shiinotic,#0756,False,Evolve Morelull,Evolve Morelull,Route 11 Night,Route 11 Night,Unobtainable,Unobtainable
Salandit,#0757,False,"Route 8, Wela Volcano Park","Route 8, Wela Volcano Park","Route 8, Wela Volcano Park, Lush Jungle (Cave)","Route 8, Wela Volcano Park, Lush Jungle (Cave)",Unobtainable,Unobtainable
Salazzle,#0758,False,Evolve Salandit♀,Evolve Salandit♀,"Wela Volcano Park, Lush Jungle (SOS Battle)","Wela Volcano Park, Lush Jungle (Cave) (SOS Battle) Received from Samson Oak at Heahea Beach* (Totem-sized)",Unobtainable,Unobtainable
Stufful,#0759,False,"Route 8, Akala Outskirts","Route 8, Akala Outskirts","Route 8, Akala Outskirts","Route 8, Akala Outskirts",Unobtainable,Unobtainable
Bewear,#0760,False,Poni Gauntlet,Poni Gauntlet,Poni Gauntlet Hau'oli City (One),Poni Gauntlet Hau'oli City (One),Unobtainable,Unobtainable
Bounsweet,#0761,False,Lush Jungle Trade Lillipup at Route 5,Lush Jungle Trade Lillipup at Route 5,Breed Steenee or Tsareena,Breed Steenee or Tsareena,Unobtainable,Unobtainable
Steenee,#0762,False,Trade Granbull in Seafolk Village,Trade Granbull in Seafolk Village,Lush Jungle,Lush Jungle,Unobtainable,Unobtainable
Tsareena,#0763,False,Evolve Steenee,Evolve Steenee,Evolve Steenee,Evolve Steenee,Unobtainable,Unobtainable
Comfey,#0764,False,Lush Jungle,Lush Jungle,"Lush Jungle, Poké Pelago*","Lush Jungle, Poké Pelago*",Unobtainable,Unobtainable
Oranguru,#0765,False,"Trade, Event",Lush Jungle,"Trade, Event",Lush Jungle,Unobtainable,Unobtainable
Passimian,#0766,False,Lush Jungle,"Trade, Event",Lush Jungle,"Trade, Event",Unobtainable,Unobtainable
Wimpod,#0767,False,"Route 8, Poni Breaker Coast, Poni Wilds","Route 8, Poni Breaker Coast, Poni Wilds","Dividing Peak Tunnel, Route 8, Poni Breaker Coast","Dividing Peak Tunnel, Route 8, Poni Breaker Coast",Unobtainable,Unobtainable
Golisopod,#0768,False,Evolve Wimpod,Evolve Wimpod,Evolve Wimpod,Evolve Wimpod,Unobtainable,Unobtainable
Sandygast,#0769,False,Hano Beach,Hano Beach,Hano Beach,Hano Beach Route 15 (One),Unobtainable,Unobtainable
Palossand,#0770,False,Evolve Sandygast,Evolve Sandygast,Evolve Sandygast,Evolve Sandygast,Unobtainable,Unobtainable
Pyukumuku,#0771,False,"Route 7, Hano Beach (Surfing) Poké Pelago*","Route 7, Hano Beach (Surfing) Poké Pelago*","Route 7, Hano Beach (Surfing) Poké Pelago*","Route 7, Hano Beach (Surfing) Poké Pelago*",Unobtainable,Unobtainable
Type: Null,#0772,False,Received from Gladion at Aether Paradise after becoming Champion,Received from Gladion at Aether Paradise after becoming Champion,Received from Wicke at Ancient Poni Path after becoming Champion Received from Wicke at Aether Paradise if party and boxes are full at Ancient Poni Path,Received from Wicke at Ancient Poni Path after becoming Champion Received from Wicke at Aether Paradise if party and boxes are full at Ancient Poni Path,Unobtainable,Unobtainable
Silvally,#0773,False,Evolve Type: Null,Evolve Type: Null,Evolve Type: Null,Evolve Type: Null,Unobtainable,Unobtainable
Minior,#0774,False,Mount Hokulani,Mount Hokulani,Mount Hokulani,Mount Hokulani,Unobtainable,Unobtainable
Komala,#0775,False,Route 11,Route 11,Route 11,Route 11,Unobtainable,Unobtainable
Turtonator,#0776,False,Blush Mountain,"Trade, Event",Blush Mountain,Trade,Unobtainable,Unobtainable
Togedemaru,#0777,False,Blush Mountain,Blush Mountain,Blush Mountain,Blush Mountain Received from Samson Oak at Heahea Beach* (Totem-sized),Unobtainable,Unobtainable
Mimikyu,#0778,False,Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site) Received from Samson Oak at Heahea Beach* (Totem-sized),Thrifty Megamart (Abandoned Site) Received from Samson Oak at Heahea Beach* (Totem-sized),Unobtainable,Unobtainable
Bruxish,#0779,False,"Routes 13, 14, and 15, Secluded Shore (Fishing)","Routes 13, 14, and 15, Secluded Shore (Fishing)","Routes 13, 14, and 15 (Fishing)","Routes 13, 14, and 15 (Fishing)",Unobtainable,Unobtainable
Drampa,#0780,False,"Trade, Event",Mount Lanakila,Trade,Mount Lanakila,Unobtainable,Unobtainable
Dhelmise,#0781,False,Seafolk Village (Fishing),Seafolk Village (Fishing),Seafolk Village (Fishing),Seafolk Village (Fishing),Unobtainable,Unobtainable
Jangmo-o,#0782,False,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Unobtainable,Unobtainable
Hakamo-o,#0783,False,Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Unobtainable,Unobtainable
Kommo-o,#0784,False,Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle),Vast Poni Canyon (SOS Battle) Received from Samson Oak at Heahea Beach* (Totem-sized),Unobtainable,Unobtainable
