Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Pyroar,#0668,False,"North Province: Area One, Dalizapa Passage East Province: Area Three (Dark Tera Type) Tera Raid Battles (4★) (Male)","North Province: Area One, Dalizapa Passage East Province: Area Three (Dark Tera Type) Tera Raid Battles (4★) (Male)","Savanna Biome


",,
Flabébé,#0669,False,"South Province: Area One, Area Four (All Flowers) East Province: East Paldean Sea (All Flowers) West Province: Area One (All Flowers) Tera Raid Battles (1★) (Red Flower)


","South Province: Area One, Area Four (All Flowers) East Province: East Paldean Sea (All Flowers) West Province: Area One (All Flowers) Tera Raid Battles (1★) (Red Flower)


",,,
Floette,#0670,False,"South Province: Area One, Area Four, Area Six (All Flowers) East Province: East Paldean Sea (All Flowers) East Province: Area One (Grass Tera Type) (Red Flower) West Province: Area One (All Flowers) North Province: Area One, Area Two,  Area Three (All Flowers) Area Zero (White Flower)


","South Province: Area One, Area Four, Area Six (All Flowers) East Province: East Paldean Sea (All Flowers) East Province: Area One (Grass Tera Type) (Red Flower) West Province: Area One (All Flowers) North Province: Area One, Area Two,  Area Three (All Flowers) Area Zero (White Flower)


",,,
Florges,#0671,False,"North Province: Area Three (All Flowers) Tera Raid Battles (5★) (Red Flower)


","North Province: Area Three (All Flowers) Tera Raid Battles (5★) (Red Flower)


",,,
Skiddo,#0672,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Asado Desert Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Asado Desert Tera Raid Battles (1★)


",,,
Gogoat,#0673,False,"South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Area Three, Casseroya Lake, Dalizapa Passage Tera Raid Battles (4★)


","South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Area Three, Casseroya Lake, Dalizapa Passage Tera Raid Battles (4★)


",,,
Pancham,#0674,False,"Unobtainable


","Unobtainable


",,,
Pangoro,#0675,False,"Unobtainable


","Unobtainable


",,,
Furfrou,#0676,False,"Unobtainable


","Unobtainable


",,,
Espurr,#0677,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Canyon Biome Tera Raid Battles (1★)


",,
Meowstic,#0678,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Canyon Biome Tera Raid Battles (4★)


",,
Honedge,#0679,False,"Unobtainable


","Unobtainable


",,,
Doublade,#0680,False,"Unobtainable


","Unobtainable


",,,
Aegislash,#0681,False,"Unobtainable


","Unobtainable


",,,
Spritzee,#0682,False,"Unobtainable


","Unobtainable


",,,
Aromatisse,#0683,False,"Unobtainable


","Unobtainable


",,,
Swirlix,#0684,False,"Unobtainable


","Unobtainable


",,,
Slurpuff,#0685,False,"Unobtainable


","Unobtainable


",,,
Inkay,#0686,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth Tera Raid Battles (3★)


",,
Malamar,#0687,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Binacle,#0688,False,"Unobtainable


","Unobtainable


",,,
Barbaracle,#0689,False,"Unobtainable


","Unobtainable


",,,
Skrelp,#0690,False,South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (2★),"Union Circle Tera Raid Battle Search (2★)


",,,
Dragalge,#0691,False,"North Province: North Paldean Sea Tera Raid Battles (5★, 6★)","Union Circle Tera Raid Battle Search (5★, 6★)


",,,
Clauncher,#0692,False,Union Circle Tera Raid Battle Search (2★),"South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (2★)


",,,
Clawitzer,#0693,False,"Union Circle Tera Raid Battle Search (5★, 6★)","South Province: South Paldean Sea North Province: North Paldean Sea Tera Raid Battles (5★, 6★)


",,,
Helioptile,#0694,False,"Unobtainable


","Unobtainable


",,,
Heliolisk,#0695,False,"Unobtainable


","Unobtainable


",,,
Tyrunt,#0696,False,"Unobtainable


","Unobtainable


",,,
Tyrantrum,#0697,False,"Unobtainable


","Unobtainable


",,,
Amaura,#0698,False,"Unobtainable


","Unobtainable


",,,
Aurorus,#0699,False,"Unobtainable


","Unobtainable


",,,
Sylveon,#0700,False,"South Province: Area Six West Province: Area Three North Province: Area Three (Fairy Tera Type) Tera Raid Battles (6★)


","South Province: Area Six West Province: Area Three North Province: Area Three (Fairy Tera Type) Tera Raid Battles (6★)


",,,
Hawlucha,#0701,False,"South Province: Area Four North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail South Province: Area Six (Bug Tera Type) Tera Raid Battles (4★)


","South Province: Area Four North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail South Province: Area Six (Bug Tera Type) Tera Raid Battles (4★)


",,,
Dedenne,#0702,False,"West Province: Area Three North Province: Area Three Tera Raid Battles (3★, 4★)


","West Province: Area Three North Province: Area Three Tera Raid Battles (3★, 4★)


",,,
Carbink,#0703,False,Trade,Trade,"Oni Mountain, Crystal Pool, Chilling Waterhead Area Zero Underdepths Tera Raid Battles (4★)


",,
Goomy,#0704,False,"South Province: Area One, Area Three, Area Four, Area Five East Province: Area Three West Province: Area Three North Province: Glaseado Mountain Tera Raid Battles (3★)","South Province: Area One, Area Three, Area Four, Area Five East Province: Area Three West Province: Area Three North Province: Glaseado Mountain Tera Raid Battles (3★)","Fellhorn Gorge, Oni Mountain, Chilling Waterhead, Timeless Woods


",,
Sliggoo,#0705,False,West Province: Area Three (Kalosian Form) North Province: Casseroya Lake (Kalosian Form) South Province: Area Four (Poison Tera Type) (Kalosian Form) Tera Raid Battles (4★) (Kalosian Form) Evolve Goomy in Pokémon Legends: Arceus via Pokémon HOME  (Hisuian Form),West Province: Area Three (Kalosian Form) North Province: Casseroya Lake (Kalosian Form) South Province: Area Four (Poison Tera Type) (Kalosian Form) Tera Raid Battles (4★) (Kalosian Form) Evolve Goomy in Pokémon Legends: Arceus via Pokémon HOME  (Hisuian Form),"Timeless Woods (Kalosian Form) Poké Portal News, Evolve Goomy in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Goodra,#0706,False,"Tera Raid Battles (5★, 6★) (Kalosian Form) Pokémon HOME, Evolve Hisuian Sliggoo  (Hisuian Form)","Tera Raid Battles (5★, 6★) (Kalosian Form) Pokémon HOME, Evolve Hisuian Sliggoo  (Hisuian Form)","Evolve Sliggoo (Kalosian Form)  Evolve Hisuian Sliggoo  (Hisuian Form)


",,
Klefki,#0707,False,"South Province: Area Six North Province: Glaseado Mountain


","South Province: Area Six North Province: Glaseado Mountain


",,,
Phantump,#0708,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road,  Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)


",,
Trevenant,#0709,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Wilds, Timeless Woods Tera Raid Battles (5★, 6★)


",,
Pumpkaboo,#0710,False,"Unobtainable


","Unobtainable


",,,
Gourgeist,#0711,False,"Unobtainable


","Unobtainable


",,,
Bergmite,#0712,False,"North Province: North Paldean Sea, Casseroya Lake, Glaseado Mountain Tera Raid Battles (3★)


","North Province: North Paldean Sea, Casseroya Lake, Glaseado Mountain Tera Raid Battles (3★)


",,,
Avalugg,#0713,False,"North Province: North Paldean Sea, Casseroya Lake, Glaseado Mountain (Kalosian Form) North Province: Glaseado Mountain (Rock Tera Type) (Kalosian Form) Tera Raid Battles (5★, 6★) (Kalosian Form) Evolve Bergmite in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


","North Province: North Paldean Sea, Casseroya Lake, Glaseado Mountain (Kalosian Form) North Province: Glaseado Mountain (Rock Tera Type) (Kalosian Form) Tera Raid Battles (5★, 6★) (Kalosian Form) Evolve Bergmite in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,,
Noibat,#0714,False,"West Province: Area Two North Province: Area One, Area Two Tera Raid Battles (3★)","West Province: Area Two North Province: Area One, Area Two Tera Raid Battles (3★)","Apple Hills, Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Oni's Maw, Crystal Pool, Kitakami Wilds


",,
Noivern,#0715,False,"North Province: Area One, Area Two Tera Raid Battles (5★)","North Province: Area One, Area Two Tera Raid Battles (5★)","Evolve Noibat


",,
Xerneas,#0716,False,"Unobtainable


","Unobtainable


",,,
Yveltal,#0717,False,"Unobtainable


","Unobtainable


",,,
Zygarde,#0718,False,"Unobtainable


","Unobtainable


",,,
Diancie,#0719,False,"Pokémon HOME


","Pokémon HOME


",,,
Hoopa,#0720,False,"Pokémon HOME


","Pokémon HOME


",,,
Volcanion,#0721,False,"Pokémon HOME


","Pokémon HOME


",,,
Rowlet,#0722,False,"Trade, Breed Decidueye or Hisuian Decidueye","Trade, Breed Decidueye or Hisuian Decidueye","Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Dartrix,#0723,False,Trade,Trade,"Evolve Rowlet


",,
Decidueye,#0724,False,"Trade, Poké Portal News (Alolan Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Trade, Poké Portal News (Alolan Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Evolve Dartrix (Alolan Form)  Evolve Dartrix in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Litten,#0725,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern (after boosting biodiversity in the Canyon Biome)


",,
Torracat,#0726,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Litten


",,
Incineroar,#0727,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Torracat


",,
Popplio,#0728,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome (after boosting biodiversity in the Coastal Biome)


",,
Brionne,#0729,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Popplio


",,
Primarina,#0730,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Brionne


",,
Pikipek,#0731,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth Tera Raid Battles (1★)


",,
Trumbeak,#0732,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth Tera Raid Battles (3★)


",,
Toucannon,#0733,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome


",,
Yungoos,#0734,False,"South Province: Area One, Area Three, Area Four, Area Five, Inlet Grotto East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Asado Desert Tera Raid Battles (1★)


","South Province: Area One, Area Three, Area Four, Area Five, Inlet Grotto East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Asado Desert Tera Raid Battles (1★)


",,,
Gumshoos,#0735,False,"South Province: Area Three, Area Five, Area Six, Inlet Grotto, Alfornada Cavern East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)


","South Province: Area Three, Area Five, Area Six, Inlet Grotto, Alfornada Cavern East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)


",,,
Grubbin,#0736,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (1★)


",,
Charjabug,#0737,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)


",,
Vikavolt,#0738,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Crystal Pool Tera Raid Battles (5★)


",,
Crabrawler,#0739,False,"South Province: Area Five East Province: Area Two West Province: Area One, Area Two North Province: Glaseado Mountain Tera Raid Battles (1★)","South Province: Area Five East Province: Area Two West Province: Area One, Area Two North Province: Glaseado Mountain Tera Raid Battles (1★)","Coastal Biome, Chargestone Cavern, Polar Biome


",,
Crabominable,#0740,False,East Province: Area Two North Province: Glaseado Mountain Tera Raid Battles (4★),East Province: Area Two North Province: Glaseado Mountain Tera Raid Battles (4★),"Chargestone Cavern, Polar Biome


",,
Oricorio,#0741,False,South Province: Area One (Pom- Pom Style) East Province: Area One (Baile Style) Use Pink Nectar (Pa'u Style) Use Purple Nectar (Sensu Style) Tera Raid Battles (4★) (Baile Style),South Province: Area One (Pom- Pom Style) East Province: Area One (Baile Style) Use Pink Nectar (Pa'u Style) Use Purple Nectar (Sensu Style) Tera Raid Battles (4★) (Baile Style),"Wistful Fields (Sensu Style) Coastal Biome (Pa'u Style)


",,
Cutiefly,#0742,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road,  Mossfell Confluence, Wistful Fields, Paradise Barrens Tera Raid Battles (1★)


",,
Ribombee,#0743,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Wistful Fields Tera Raid Battles (4★)


",,
Rockruff,#0744,False,"South Province: Area One, Area Four (Both Forms) East Province: Area Two (Both Forms) West Province: Area One (Both Forms) West Province: Area One (Psychic Tera Type) (Own Tempo Form) Tera Raid Battles (1★) (Standard Form)","South Province: Area One, Area Four (Both Forms) East Province: Area Two (Both Forms) West Province: Area One (Both Forms) West Province: Area One (Psychic Tera Type) (Own Tempo Form) Tera Raid Battles (1★) (Standard Form)","Reveler's Road, Kitakami Hall, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds (Standard Form)


",,
Lycanroc,#0745,False,"South Province: South Province (Area Six) (Midday/ Midnight Forms) North Province: Dalizapa Passage, Glaseado Mountain (Midday/ Midnight Forms) Area Zero (Midday/ Midnight Forms) North Province: Area One (Midday/ Midnight/ Dusk Forms) Tera Raid Battles (4★) (Midday Form) Tera Raid Battles (4★) (Midnight Form) Tera Raid Battles (6★) (Dusk Form)","South Province: South Province (Area Six) (Midday/ Midnight Forms) North Province: Dalizapa Passage, Glaseado Mountain (Midday/ Midnight Forms) Area Zero (Midday/ Midnight Forms) North Province: Area One (Midday/ Midnight/ Dusk Forms) Tera Raid Battles (4★) (Midday Form) Tera Raid Battles (4★) (Midnight Form) Tera Raid Battles (6★) (Dusk Form)","Fellhorn Gorge, Oni Mountain, Kitakami Wilds (Midday/ Midnight Forms)


",,
Wishiwashi,#0746,False,"Unobtainable


","Unobtainable


",,,
Mareanie,#0747,False,"East Province: East Paldean Sea Tera Raid Battles (3★)


","East Province: East Paldean Sea Tera Raid Battles (3★)


",,,
Toxapex,#0748,False,"East Province: Area One (Normal Tera Type) Tera Raid Battles (6★)


","East Province: Area One (Normal Tera Type) Tera Raid Battles (6★)


",,,
Mudbray,#0749,False,"South Province: Area One, Area Two, Area Five East Province: Area Two West Province: Area One North Province: Dalizapa Passage Tera Raid Battles (2★)","South Province: Area One, Area Two, Area Five East Province: Area Two West Province: Area One North Province: Dalizapa Passage Tera Raid Battles (2★)","Wistful Fields, Paradise Barrens


",,
Mudsdale,#0750,False,"South Province: Area Six North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","South Province: Area Six North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (5★)","Evolve Mudbray


",,
Dewpider,#0751,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Coastal Biome, Torchlit Labyrinth Tera Raid Battles (2★)


",,
Araquanid,#0752,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth Tera Raid Battles (4★)


",,
Fomantis,#0753,False,South Province: Area One East Province: Tagtree Thicket Tera Raid Battles (1★),South Province: Area One East Province: Tagtree Thicket Tera Raid Battles (1★),"Kitakami Road, Apple Hills, Loyalty Plaza, Kitakami Hall, Mossfell Confluence, Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Lurantis,#0754,False,"North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail Tera Raid Battles (4★)","North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat Trail Tera Raid Battles (4★)","Kitakami Wilds, Timeless Woods


",,
Morelull,#0755,False,"Unobtainable


","Unobtainable


",,,
Shiinotic,#0756,False,"Unobtainable


","Unobtainable


",,,
Salandit,#0757,False,"South Province: Alfornada Cavern East Province: Area Two, Area Three West Province: Area One, Area Two North Province: Dalizapa Passage, Glaseado Mountain East Province: Area One (Dragon Tera Type) Tera Raid Battles (2★)","South Province: Alfornada Cavern East Province: Area Two, Area Three West Province: Area One, Area Two North Province: Dalizapa Passage, Glaseado Mountain East Province: Area One (Dragon Tera Type) Tera Raid Battles (2★)","Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Crystal Pool


",,
Salazzle,#0758,False,"South Province: Area Four, Alfornada Cavern North Province: Area One, Area Two, Area Three, Dalizapa Passage, Glaseado Mountain","South Province: Area Four, Alfornada Cavern North Province: Area One, Area Two, Area Three, Dalizapa Passage, Glaseado Mountain","Evolve Salandit


",,
Stufful,#0759,False,"Unobtainable


","Unobtainable


",,,
Bewear,#0760,False,"Unobtainable


","Unobtainable


",,,
Bounsweet,#0761,False,"South Province: Area One, Area Two East Province: Area One, Area Two Tera Raid Battles (1★)


","South Province: Area One, Area Two East Province: Area One, Area Two Tera Raid Battles (1★)


",,,
Steenee,#0762,False,"East Province: Area One, Area Two West Province: Area Three Tera Raid Battles (3★)


","East Province: Area One, Area Two West Province: Area Three Tera Raid Battles (3★)


",,,
Tsareena,#0763,False,"North Province: Socarrat Trail (Psychic Tera Type) Tera Raid Battles (5★)


","North Province: Socarrat Trail (Psychic Tera Type) Tera Raid Battles (5★)


",,,
Comfey,#0764,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (3★)


",,
Oranguru,#0765,False,"East Province: Tagtree Thicket North Province: Area Two Tera Raid Battles (3★, 5★)","Union Circle Tera Raid Battle Search (3★, 5★)


",,,
Passimian,#0766,False,"Union Circle Tera Raid Battle Search (3★, 5★)","East Province: Tagtree Thicket North Province: Area Two Tera Raid Battles (3★, 5★)


",,,
Wimpod,#0767,False,"Unobtainable


","Unobtainable


",,,
Golisopod,#0768,False,"Unobtainable


","Unobtainable


",,,
Sandygast,#0769,False,"South Province: Area Five East Province: Area Two West Province: Area Two West Province: Asado Desert (Grass Tera Type) Tera Raid Battles (2★)


","South Province: Area Five East Province: Area Two West Province: Area Two West Province: Asado Desert (Grass Tera Type) Tera Raid Battles (2★)


",,,
Palossand,#0770,False,"West Province: Area Two North Province: Casseroya Lake


","West Province: Area Two North Province: Casseroya Lake


",,,
Pyukumuku,#0771,False,"Unobtainable


","Unobtainable


",,,
Type: Null,#0772,False,"Unobtainable


","Unobtainable


",,,
Silvally,#0773,False,"Unobtainable


","Unobtainable


",,,
Minior,#0774,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (5★)


",,
Komala,#0775,False,"South Province: Area One East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (4★)


","South Province: Area One East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (4★)


",,,
Turtonator,#0776,False,"Unobtainable


","Unobtainable


",,,
Togedemaru,#0777,False,"Unobtainable


","Unobtainable


",,,
Mimikyu,#0778,False,"East Province: Area Two, Tagtree Thicket West Province: Area Three North Province: Area Two (Fairy Tera Type) Tera Raid Battles (5★, 6★)","East Province: Area Two, Tagtree Thicket West Province: Area Three North Province: Area Two (Fairy Tera Type) Tera Raid Battles (5★, 6★)","Oni Mountain, Infernal Pass, Chilling Waterhead, Kitakami Wilds, Timeless Woods


",,
Bruxish,#0779,False,East Province: East Paldean Sea West Province: West Paldean Sea Tera Raid Battles (3★),East Province: East Paldean Sea West Province: West Paldean Sea Tera Raid Battles (3★),"Coastal Biome


",,
Drampa,#0780,False,"Unobtainable


","Unobtainable


",,,
Dhelmise,#0781,False,"Unobtainable


","Unobtainable


",,,
Jangmo-o,#0782,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Wistful Fields, Paradise Barrens, Kitakami Wilds Tera Raid Battles (3★)


",,
Hakamo-o,#0783,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Wilds Tera Raid Battles (4★)


",,
Kommo-o,#0784,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Tapu Koko,#0785,False,"Unobtainable


","Unobtainable


",,,
Tapu Lele,#0786,False,"Unobtainable


","Unobtainable


",,,
Tapu Bulu,#0787,False,"Unobtainable


","Unobtainable


",,,
Tapu Fini,#0788,False,"Unobtainable


","Unobtainable


",,,
Cosmog,#0789,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Cosmoem,#0790,False,"Pokémon HOME Version 3.0.0+


","Pokémon HOME Version 3.0.0+


",,,
Solgaleo,#0791,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Pokémon League after receiving the Solgaleo Treat from Snacksworth (Only one) (Solo Quest),"Pokémon League after receiving the Solgaleo Treat from Snacksworth (Only one) (Group Quest)


"
Lunala,#0792,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Casseroya Lake after receiving the Lunala Treat from Snacksworth (Only one) (Group Quest),"Casseroya Lake after receiving the Lunala Treat from Snacksworth (Only one) (Solo Quest)


"
Nihilego,#0793,False,"Unobtainable


","Unobtainable


",,,
Buzzwole,#0794,False,"Unobtainable


","Unobtainable


",,,
Pheromosa,#0795,False,"Unobtainable


","Unobtainable


",,,
Xurkitree,#0796,False,"Unobtainable


","Unobtainable


",,,
Celesteela,#0797,False,"Unobtainable


","Unobtainable


",,,
Kartana,#0798,False,"Unobtainable


","Unobtainable


",,,
Guzzlord,#0799,False,"Unobtainable


","Unobtainable


",,,
Necrozma,#0800,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Socarrat Trail after receiving the Necrozma Treat from Snacksworth (Only one) (Group Quest)


",,
Magearna,#0801,False,"Pokémon HOME


","Pokémon HOME


",,,
Marshadow,#0802,False,"Unobtainable


","Unobtainable


",,,
Poipole,#0803,False,"Unobtainable


","Unobtainable


",,,
Naganadel,#0804,False,"Unobtainable


","Unobtainable


",,,
Stakataka,#0805,False,"Unobtainable


","Unobtainable


",,,
Blacephalon,#0806,False,"Unobtainable


","Unobtainable


",,,
Zeraora,#0807,False,"Unobtainable


","Unobtainable


",,,
Meltan,#0808,False,"Unobtainable


","Unobtainable


",,,
Melmetal,#0809,False,"Unobtainable


","Unobtainable


",,,
Grookey,#0810,False,Trade,Trade,"Coastal Biome (after boosting biodiversity in the Coastal Biome)


",,
Thwackey,#0811,False,Trade,Trade,"Evolve Grookey


",,
Rillaboom,#0812,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Thwackey


",,
Scorbunny,#0813,False,Trade,Trade,"Chargestone Cavern, Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Raboot,#0814,False,Trade,Trade,"Evolve Scorbunny


",,
Cinderace,#0815,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Raboot


",,
Sobble,#0816,False,Trade,Trade,"Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Drizzile,#0817,False,Trade,Trade,"Evolve Sobble


",,
Inteleon,#0818,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Drizzile


",,
Skwovet,#0819,False,"South Province: Area One, Area Two Tera Raid Battles (1★)","South Province: Area One, Area Two Tera Raid Battles (1★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Wistful Fields, Paradise Barrens


",,
Greedent,#0820,False,"South Province: Area Six East Province: Tagtree Thicket West Province: Area Three North Province: Area One, Dalizapa Passage Tera Raid Battles (3★, 5★)","South Province: Area Six East Province: Tagtree Thicket West Province: Area Three North Province: Area One, Dalizapa Passage Tera Raid Battles (3★, 5★)","Fellhorn Gorge, Kitakami Wilds, Timeless Woods


",,
Rookidee,#0821,False,"South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three Tera Raid Battles (1★)


","South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three Tera Raid Battles (1★)


",,,
Corvisquire,#0822,False,"South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three Tera Raid Battles (3★)


","South Province: Area One, Area Three, Area Five East Province: Area One, Area Two, Area Three Tera Raid Battles (3★)


",,,
Corviknight,#0823,False,"North Province: Area Two (Fighting Tera Type) Area Zero Tera Raid Battles (5★, 6★)


","North Province: Area Two (Fighting Tera Type) Area Zero Tera Raid Battles (5★, 6★)


",,,
Blipbug,#0824,False,"Unobtainable


","Unobtainable


",,,
Dottler,#0825,False,"Unobtainable


","Unobtainable


",,,
Orbeetle,#0826,False,"Unobtainable


","Unobtainable


",,,
Nickit,#0827,False,"Unobtainable


","Unobtainable


",,,
Thievul,#0828,False,"Unobtainable


","Unobtainable


",,,
Gossifleur,#0829,False,"Unobtainable


","Unobtainable


",,,
Eldegoss,#0830,False,"Unobtainable


","Unobtainable


",,,
Wooloo,#0831,False,"Unobtainable


","Unobtainable


",,,
Dubwool,#0832,False,"Unobtainable


","Unobtainable


",,,
Chewtle,#0833,False,"South Province: Area One, Area Two, Area Four, Area Five East Province: Area Two, Area Three West Province: Area One, Area Two North Province: Area Two Tera Raid Battles (1★)","South Province: Area One, Area Two, Area Four, Area Five East Province: Area Two, Area Three West Province: Area One, Area Two North Province: Area Two Tera Raid Battles (1★)","Mossfell Confluence, Fellhorn Gorge, Kitakami Wilds, Timeless Woods


",,
Drednaw,#0834,False,"South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two, Area Three West Province: Area Two, Area Three North Province: Area Two, Casseroya Lake, Glaseado Mountain North Province: Casseroya Lake (Ice Tera Type) Tera Raid Battles (4★)","South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two, Area Three West Province: Area Two, Area Three North Province: Area Two, Casseroya Lake, Glaseado Mountain North Province: Casseroya Lake (Ice Tera Type) Tera Raid Battles (4★)","Fellhorn Gorge, Kitakami Wilds, Timeless Woods


",,
Yamper,#0835,False,"Unobtainable


","Unobtainable


",,,
Boltund,#0836,False,"Unobtainable


","Unobtainable


",,,
Rolycoly,#0837,False,"East Province: Area Three Tera Raid Battles (2★)


","East Province: Area Three Tera Raid Battles (2★)


",,,
Carkol,#0838,False,"East Province: Area Three Tera Raid Battles (3★)


","East Province: Area Three Tera Raid Battles (3★)


",,,
Coalossal,#0839,False,"Tera Raid Battles (5★)


","Tera Raid Battles (5★)


",,,
Applin,#0840,False,"South Province: Area One, Area Two, Area Four East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three North Province: Area One, Area Two, Casseroya Lake Tera Raid Battles (1★)","South Province: Area One, Area Two, Area Four East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three North Province: Area One, Area Two, Casseroya Lake Tera Raid Battles (1★)","Kitakami Road, Apple Hills, Mossfell Confluence Tera Raid Battles (2★, 3★)


",,
Flapple,#0841,False,Tera Raid Battles (5★),Tera Raid Battles (5★),"Mossfell Confluence


",,
Appletun,#0842,False,Tera Raid Battles (5★),Tera Raid Battles (5★),"Mossfell Confluence


",,
